22-09-21 18:02:49.453 - INFO: Namespace(aux_learning_rate=0.001, basepoint=None, batch_size=8, checkpoint=None, clip_max_norm=1.0, config=None, cuda=True, dataset='/home/qororo606/flicker', epochs=500, experiment='Joint_ReLU_q2', gpu_id=0, learning_rate=0.0001, lmbda=0.0035, lsq=False, metrics='mse', model='joint-relu', num_workers=4, patch_size=(256, 256), pretrain=False, quality=2, save=True, seed=None, test_batch_size=1)
22-09-21 18:02:49.482 - INFO: JointReLU(
  (entropy_bottleneck): EntropyBottleneck(
    (likelihood_lower_bound): LowerBound()
  )
  (g_a): Sequential(
    (0): Conv2d(3, 192, kernel_size=(5, 5), stride=(2, 2), padding=(2, 2))
    (1): ReLU()
    (2): Conv2d(192, 192, kernel_size=(5, 5), stride=(2, 2), padding=(2, 2))
    (3): ReLU()
    (4): Conv2d(192, 192, kernel_size=(5, 5), stride=(2, 2), padding=(2, 2))
    (5): ReLU()
    (6): Conv2d(192, 192, kernel_size=(5, 5), stride=(2, 2), padding=(2, 2))
  )
  (g_s): Sequential(
    (0): ConvTranspose2d(192, 192, kernel_size=(5, 5), stride=(2, 2), padding=(2, 2), output_padding=(1, 1))
    (1): ReLU()
    (2): ConvTranspose2d(192, 192, kernel_size=(5, 5), stride=(2, 2), padding=(2, 2), output_padding=(1, 1))
    (3): ReLU()
    (4): ConvTranspose2d(192, 192, kernel_size=(5, 5), stride=(2, 2), padding=(2, 2), output_padding=(1, 1))
    (5): ReLU()
    (6): ConvTranspose2d(192, 3, kernel_size=(5, 5), stride=(2, 2), padding=(2, 2), output_padding=(1, 1))
  )
  (h_a): Sequential(
    (0): Conv2d(192, 192, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1))
    (1): ReLU()
    (2): Conv2d(192, 192, kernel_size=(5, 5), stride=(2, 2), padding=(2, 2))
    (3): ReLU()
    (4): Conv2d(192, 192, kernel_size=(5, 5), stride=(2, 2), padding=(2, 2))
  )
  (h_s): Sequential(
    (0): ConvTranspose2d(192, 192, kernel_size=(5, 5), stride=(2, 2), padding=(2, 2), output_padding=(1, 1))
    (1): ReLU()
    (2): ConvTranspose2d(192, 288, kernel_size=(5, 5), stride=(2, 2), padding=(2, 2), output_padding=(1, 1))
    (3): ReLU()
    (4): Conv2d(288, 384, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1))
  )
  (gaussian_conditional): GaussianConditional(
    (likelihood_lower_bound): LowerBound()
    (lower_bound_scale): LowerBound()
  )
  (entropy_parameters): Sequential(
    (0): Conv2d(768, 640, kernel_size=(1, 1), stride=(1, 1))
    (1): ReLU()
    (2): Conv2d(640, 512, kernel_size=(1, 1), stride=(1, 1))
    (3): ReLU()
    (4): Conv2d(512, 384, kernel_size=(1, 1), stride=(1, 1))
  )
  (context_prediction): MaskedConv2d(192, 384, kernel_size=(5, 5), stride=(1, 1), padding=(2, 2))
)
22-09-21 18:02:49.484 - INFO: Learning rate: 0.0001
22-09-21 18:02:54.146 - INFO: Train epoch 0: [    0/16574 (0%)] Loss: 54.3624 | MSE loss: 0.2372 | Bpp loss: 0.3803 | Aux loss: 7928.71
22-09-21 18:03:15.243 - INFO: Train epoch 0: [  800/16574 (5%)] Loss: 5.7298 | MSE loss: 0.0230 | Bpp loss: 0.5051 | Aux loss: 7889.15
22-09-21 18:03:21.829 - INFO: Train epoch 0: [ 1600/16574 (10%)] Loss: 5.0926 | MSE loss: 0.0203 | Bpp loss: 0.4616 | Aux loss: 7846.64
22-09-21 18:03:28.381 - INFO: Train epoch 0: [ 2400/16574 (14%)] Loss: 2.4853 | MSE loss: 0.0090 | Bpp loss: 0.4267 | Aux loss: 7805.51
22-09-21 18:03:34.952 - INFO: Train epoch 0: [ 3200/16574 (19%)] Loss: 3.0248 | MSE loss: 0.0113 | Bpp loss: 0.4544 | Aux loss: 7764.59
22-09-21 18:03:43.567 - INFO: Train epoch 0: [ 4000/16574 (24%)] Loss: 2.8206 | MSE loss: 0.0104 | Bpp loss: 0.4627 | Aux loss: 7717.06
22-09-21 18:04:04.455 - INFO: Train epoch 0: [ 4800/16574 (29%)] Loss: 1.6370 | MSE loss: 0.0053 | Bpp loss: 0.4407 | Aux loss: 7646.69
22-09-21 18:04:10.384 - INFO: Train epoch 0: [ 5600/16574 (34%)] Loss: 2.9849 | MSE loss: 0.0111 | Bpp loss: 0.4479 | Aux loss: 7590.94
22-09-21 18:04:16.593 - INFO: Train epoch 0: [ 6400/16574 (39%)] Loss: 2.1923 | MSE loss: 0.0077 | Bpp loss: 0.4324 | Aux loss: 7543.57
22-09-21 18:04:24.272 - INFO: Train epoch 0: [ 7200/16574 (43%)] Loss: 2.9572 | MSE loss: 0.0110 | Bpp loss: 0.4606 | Aux loss: 7482.22
22-09-21 18:04:29.828 - INFO: Train epoch 0: [ 8000/16574 (48%)] Loss: 1.7768 | MSE loss: 0.0060 | Bpp loss: 0.4003 | Aux loss: 7424.52
22-09-21 18:04:35.127 - INFO: Train epoch 0: [ 8800/16574 (53%)] Loss: 2.4228 | MSE loss: 0.0087 | Bpp loss: 0.4394 | Aux loss: 7366.94
22-09-21 18:04:40.590 - INFO: Train epoch 0: [ 9600/16574 (58%)] Loss: 1.8986 | MSE loss: 0.0065 | Bpp loss: 0.4229 | Aux loss: 7297.62
22-09-21 18:04:45.768 - INFO: Train epoch 0: [10400/16574 (63%)] Loss: 2.5126 | MSE loss: 0.0092 | Bpp loss: 0.4300 | Aux loss: 7238.42
22-09-21 18:04:51.003 - INFO: Train epoch 0: [11200/16574 (68%)] Loss: 2.5116 | MSE loss: 0.0091 | Bpp loss: 0.4329 | Aux loss: 7178.33
22-09-21 18:04:56.171 - INFO: Train epoch 0: [12000/16574 (72%)] Loss: 1.8936 | MSE loss: 0.0065 | Bpp loss: 0.4046 | Aux loss: 7114.00
22-09-21 18:05:01.364 - INFO: Train epoch 0: [12800/16574 (77%)] Loss: 1.3456 | MSE loss: 0.0042 | Bpp loss: 0.3823 | Aux loss: 7065.76
22-09-21 18:05:06.495 - INFO: Train epoch 0: [13600/16574 (82%)] Loss: 1.5413 | MSE loss: 0.0051 | Bpp loss: 0.3715 | Aux loss: 7012.69
22-09-21 18:05:12.895 - INFO: Train epoch 0: [14400/16574 (87%)] Loss: 1.1675 | MSE loss: 0.0033 | Bpp loss: 0.4133 | Aux loss: 6926.20
