22-09-06 18:46:47.932 - INFO: Namespace(aux_learning_rate=0.001, batch_size=8, checkpoint=None, clip_max_norm=1.0, config=None, cuda=True, dataset='/home/qororo606/flicker', epochs=500, experiment='MS_q4', gpu_id=0, learning_rate=0.0001, lmbda=0.013, lsq=False, metrics='mse', model='ms-relu', num_workers=4, patch_size=(256, 256), pretrain=False, quality=4, save=True, seed=None, test_batch_size=1)
22-09-06 18:46:47.933 - INFO: MSReLU(
  (entropy_bottleneck): EntropyBottleneck(
    (likelihood_lower_bound): LowerBound()
  )
  (g_a): Sequential(
    (0): Conv2d(3, 128, kernel_size=(5, 5), stride=(2, 2), padding=(2, 2))
    (1): ReLU()
    (2): Conv2d(128, 128, kernel_size=(5, 5), stride=(2, 2), padding=(2, 2))
    (3): ReLU()
    (4): Conv2d(128, 128, kernel_size=(5, 5), stride=(2, 2), padding=(2, 2))
    (5): ReLU()
    (6): Conv2d(128, 192, kernel_size=(5, 5), stride=(2, 2), padding=(2, 2))
  )
  (g_s): Sequential(
    (0): ConvTranspose2d(192, 128, kernel_size=(5, 5), stride=(2, 2), padding=(2, 2), output_padding=(1, 1))
    (1): ReLU()
    (2): ConvTranspose2d(128, 128, kernel_size=(5, 5), stride=(2, 2), padding=(2, 2), output_padding=(1, 1))
    (3): ReLU()
    (4): ConvTranspose2d(128, 128, kernel_size=(5, 5), stride=(2, 2), padding=(2, 2), output_padding=(1, 1))
    (5): ReLU()
    (6): ConvTranspose2d(128, 3, kernel_size=(5, 5), stride=(2, 2), padding=(2, 2), output_padding=(1, 1))
  )
  (h_a): Sequential(
    (0): Conv2d(192, 128, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1))
    (1): ReLU()
    (2): Conv2d(128, 128, kernel_size=(5, 5), stride=(2, 2), padding=(2, 2))
    (3): ReLU()
    (4): Conv2d(128, 128, kernel_size=(5, 5), stride=(2, 2), padding=(2, 2))
  )
  (h_s): Sequential(
    (0): ConvTranspose2d(128, 192, kernel_size=(5, 5), stride=(2, 2), padding=(2, 2), output_padding=(1, 1))
    (1): ReLU()
    (2): ConvTranspose2d(192, 288, kernel_size=(5, 5), stride=(2, 2), padding=(2, 2), output_padding=(1, 1))
    (3): ReLU()
    (4): Conv2d(288, 384, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1))
  )
  (gaussian_conditional): GaussianConditional(
    (likelihood_lower_bound): LowerBound()
    (lower_bound_scale): LowerBound()
  )
)
22-09-06 18:46:47.934 - INFO: Learning rate: 0.0001
22-09-06 18:46:50.822 - INFO: Train epoch 0: [    0/16574 (0%)] Loss: 246.1552 | MSE loss: 0.2909 | Bpp loss: 0.2887 | Aux loss: 5280.12
22-09-06 18:46:55.322 - INFO: Train epoch 0: [  800/16574 (5%)] Loss: 23.4526 | MSE loss: 0.0266 | Bpp loss: 0.9257 | Aux loss: 5252.79
22-09-06 18:46:59.773 - INFO: Train epoch 0: [ 1600/16574 (10%)] Loss: 29.2777 | MSE loss: 0.0338 | Bpp loss: 0.7137 | Aux loss: 5219.37
22-09-06 18:47:04.335 - INFO: Train epoch 0: [ 2400/16574 (14%)] Loss: 13.3670 | MSE loss: 0.0152 | Bpp loss: 0.5209 | Aux loss: 5195.48
22-09-06 18:47:08.648 - INFO: Train epoch 0: [ 3200/16574 (19%)] Loss: 12.1501 | MSE loss: 0.0136 | Bpp loss: 0.6203 | Aux loss: 5166.11
22-09-06 18:47:12.719 - INFO: Train epoch 0: [ 4000/16574 (24%)] Loss: 9.9726 | MSE loss: 0.0110 | Bpp loss: 0.6592 | Aux loss: 5129.77
22-09-06 18:47:16.530 - INFO: Train epoch 0: [ 4800/16574 (29%)] Loss: 13.6312 | MSE loss: 0.0152 | Bpp loss: 0.7457 | Aux loss: 5102.85
22-09-06 18:47:20.122 - INFO: Train epoch 0: [ 5600/16574 (34%)] Loss: 5.9599 | MSE loss: 0.0064 | Bpp loss: 0.5137 | Aux loss: 5066.66
22-09-06 18:47:23.555 - INFO: Train epoch 0: [ 6400/16574 (39%)] Loss: 9.8219 | MSE loss: 0.0109 | Bpp loss: 0.5980 | Aux loss: 5039.70
22-09-06 18:47:27.104 - INFO: Train epoch 0: [ 7200/16574 (43%)] Loss: 8.1777 | MSE loss: 0.0090 | Bpp loss: 0.6029 | Aux loss: 5011.18
22-09-06 18:47:30.140 - INFO: Train epoch 0: [ 8000/16574 (48%)] Loss: 7.0160 | MSE loss: 0.0075 | Bpp loss: 0.6635 | Aux loss: 4977.71
22-09-06 18:47:32.819 - INFO: Train epoch 0: [ 8800/16574 (53%)] Loss: 3.8887 | MSE loss: 0.0040 | Bpp loss: 0.4945 | Aux loss: 4937.05
22-09-06 18:47:35.756 - INFO: Train epoch 0: [ 9600/16574 (58%)] Loss: 8.8851 | MSE loss: 0.0098 | Bpp loss: 0.6284 | Aux loss: 4893.29
22-09-06 18:47:38.628 - INFO: Train epoch 0: [10400/16574 (63%)] Loss: 6.8999 | MSE loss: 0.0074 | Bpp loss: 0.6106 | Aux loss: 4850.39
22-09-06 18:47:41.394 - INFO: Train epoch 0: [11200/16574 (68%)] Loss: 7.7588 | MSE loss: 0.0085 | Bpp loss: 0.5494 | Aux loss: 4815.84
