22-08-30 11:57:48.885 - INFO: Namespace(aux_learning_rate=0.001, batch_size=8, checkpoint=None, clip_max_norm=1.0, config=None, cuda=True, dataset='/home/qororo606/flicker', epochs=500, experiment='MStanh_q3', gpu_id=0, learning_rate=0.0001, lmbda=0.0067, lsq=False, metrics='mse', model='ms-tanh', num_workers=4, patch_size=(256, 256), pretrain=False, quality=3, save=True, seed=None, test_batch_size=1)
22-08-30 11:57:48.886 - INFO: MSTanh(
  (entropy_bottleneck): EntropyBottleneck(
    (likelihood_lower_bound): LowerBound()
  )
  (g_a): Sequential(
    (0): Conv2d(3, 128, kernel_size=(5, 5), stride=(2, 2), padding=(2, 2))
    (1): Tanh()
    (2): Conv2d(128, 128, kernel_size=(5, 5), stride=(2, 2), padding=(2, 2))
    (3): Tanh()
    (4): Conv2d(128, 128, kernel_size=(5, 5), stride=(2, 2), padding=(2, 2))
    (5): Tanh()
    (6): Conv2d(128, 192, kernel_size=(5, 5), stride=(2, 2), padding=(2, 2))
  )
  (g_s): Sequential(
    (0): ConvTranspose2d(192, 128, kernel_size=(5, 5), stride=(2, 2), padding=(2, 2), output_padding=(1, 1))
    (1): Tanh()
    (2): ConvTranspose2d(128, 128, kernel_size=(5, 5), stride=(2, 2), padding=(2, 2), output_padding=(1, 1))
    (3): Tanh()
    (4): ConvTranspose2d(128, 128, kernel_size=(5, 5), stride=(2, 2), padding=(2, 2), output_padding=(1, 1))
    (5): Tanh()
    (6): ConvTranspose2d(128, 3, kernel_size=(5, 5), stride=(2, 2), padding=(2, 2), output_padding=(1, 1))
  )
  (h_a): Sequential(
    (0): Conv2d(192, 128, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1))
    (1): Tanh()
    (2): Conv2d(128, 128, kernel_size=(5, 5), stride=(2, 2), padding=(2, 2))
    (3): Tanh()
    (4): Conv2d(128, 128, kernel_size=(5, 5), stride=(2, 2), padding=(2, 2))
  )
  (h_s): Sequential(
    (0): ConvTranspose2d(128, 192, kernel_size=(5, 5), stride=(2, 2), padding=(2, 2), output_padding=(1, 1))
    (1): Tanh()
    (2): ConvTranspose2d(192, 288, kernel_size=(5, 5), stride=(2, 2), padding=(2, 2), output_padding=(1, 1))
    (3): Tanh()
    (4): Conv2d(288, 384, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1))
  )
  (gaussian_conditional): GaussianConditional(
    (likelihood_lower_bound): LowerBound()
    (lower_bound_scale): LowerBound()
  )
)
22-08-30 11:57:48.887 - INFO: Learning rate: 0.0001
22-08-30 11:57:52.303 - INFO: Train epoch 0: [    0/16574 (0%)] Loss: 161.3078 | MSE loss: 0.3695 | Bpp loss: 0.3095 | Aux loss: 5279.96
22-08-30 11:57:55.552 - INFO: Train epoch 0: [  800/16574 (5%)] Loss: 8.4821 | MSE loss: 0.0185 | Bpp loss: 0.4434 | Aux loss: 5250.65
22-08-30 11:57:58.934 - INFO: Train epoch 0: [ 1600/16574 (10%)] Loss: 8.1608 | MSE loss: 0.0175 | Bpp loss: 0.5188 | Aux loss: 5223.13
22-08-30 11:58:01.807 - INFO: Train epoch 0: [ 2400/16574 (14%)] Loss: 6.6518 | MSE loss: 0.0140 | Bpp loss: 0.5376 | Aux loss: 5195.92
22-08-30 11:58:04.558 - INFO: Train epoch 0: [ 3200/16574 (19%)] Loss: 5.3865 | MSE loss: 0.0111 | Bpp loss: 0.5498 | Aux loss: 5169.86
22-08-30 11:58:07.214 - INFO: Train epoch 0: [ 4000/16574 (24%)] Loss: 5.5913 | MSE loss: 0.0116 | Bpp loss: 0.5400 | Aux loss: 5136.14
22-08-30 11:58:09.991 - INFO: Train epoch 0: [ 4800/16574 (29%)] Loss: 5.9925 | MSE loss: 0.0124 | Bpp loss: 0.5778 | Aux loss: 5100.83
22-08-30 11:58:12.713 - INFO: Train epoch 0: [ 5600/16574 (34%)] Loss: 3.8053 | MSE loss: 0.0076 | Bpp loss: 0.4842 | Aux loss: 5064.74
22-08-30 11:58:15.319 - INFO: Train epoch 0: [ 6400/16574 (39%)] Loss: 3.0221 | MSE loss: 0.0059 | Bpp loss: 0.4477 | Aux loss: 5034.86
22-08-30 11:58:18.063 - INFO: Train epoch 0: [ 7200/16574 (43%)] Loss: 4.9524 | MSE loss: 0.0101 | Bpp loss: 0.5527 | Aux loss: 4995.87
22-08-30 11:58:20.774 - INFO: Train epoch 0: [ 8000/16574 (48%)] Loss: 4.9559 | MSE loss: 0.0102 | Bpp loss: 0.5300 | Aux loss: 4966.25
22-08-30 11:58:23.477 - INFO: Train epoch 0: [ 8800/16574 (53%)] Loss: 4.8728 | MSE loss: 0.0098 | Bpp loss: 0.6114 | Aux loss: 4925.82
22-08-30 11:58:26.272 - INFO: Train epoch 0: [ 9600/16574 (58%)] Loss: 2.5714 | MSE loss: 0.0048 | Bpp loss: 0.4667 | Aux loss: 4884.25
22-08-30 11:58:29.043 - INFO: Train epoch 0: [10400/16574 (63%)] Loss: 2.4456 | MSE loss: 0.0046 | Bpp loss: 0.4542 | Aux loss: 4843.76
22-08-30 11:58:31.685 - INFO: Train epoch 0: [11200/16574 (68%)] Loss: 3.8744 | MSE loss: 0.0077 | Bpp loss: 0.5247 | Aux loss: 4802.78
22-08-30 11:58:34.419 - INFO: Train epoch 0: [12000/16574 (72%)] Loss: 3.9444 | MSE loss: 0.0078 | Bpp loss: 0.5463 | Aux loss: 4760.08
22-08-30 11:58:37.284 - INFO: Train epoch 0: [12800/16574 (77%)] Loss: 3.0556 | MSE loss: 0.0058 | Bpp loss: 0.5257 | Aux loss: 4705.06
22-08-30 11:58:40.002 - INFO: Train epoch 0: [13600/16574 (82%)] Loss: 2.9762 | MSE loss: 0.0057 | Bpp loss: 0.5098 | Aux loss: 4644.80
22-08-30 11:58:42.740 - INFO: Train epoch 0: [14400/16574 (87%)] Loss: 3.1071 | MSE loss: 0.0061 | Bpp loss: 0.4480 | Aux loss: 4590.08
